Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,22nF,C1532
C10,0402,1,10nF,C15195
C11,0402,1,10nF,C15195
"C12, C7",C_Radial_D10.0mm_H12.5mm_P5.00mm,2,150uf,C432404
C13,0402,1,470nF,C437526
C14,0402,1,470nF,C437526
C15,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,680uF,C88760
C2,0402,1,220nF,C16772
C3,0402,1,22nF,C1532
C4,0402,1,220nF,C16772
C5,0402,1,10nF,C15195
C6,0402,1,10nF,C15195
C8,0402,1,470nF,C437526
C9,0402,1,470nF,C437526
D1,0603,1,LED,C2286
D10,0603,1,LED,C2286
D11,0603,1,LED,C2286
D12,0603,1,LED,C2286
D13,0603,1,LED,C2286
D14,0603,1,LED,C2286
D15,0603,1,LED,C2286
D16,0603,1,LED,C2286
D17,0603,1,LED,C2286
D18,0603,1,LED,C2286
D19,0603,1,LED,C2286
D2,0603,1,LED,C2286
D3,0603,1,LED,C2286
D4,0603,1,LED,C2286
D5,0603,1,LED,C2286
D6,0603,1,LED,C2286
D7,0603,1,LED,C2286
D8,0603,1,LED,C2286
D9,0603,1,LED,C2286
J1,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,FLIR,C133065
J2,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,Stepper1,
J3,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,Stepper2,
J4,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",1,PWR,
J5,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Sensors,C133065
R1,0402,1,30k,C25779
R10,0402,1,330,C25104
R11,0402,1,330,C25104
R12,0402,1,330,C25104
R13,0402,1,330,C25104
R14,0402,1,330,C25104
R15,0402,1,330,C25104
R16,0402,1,330,C25104
R17,0402,1,330,C25104
R18,0402,1,330,C25104
R19,0402,1,330,C25104
R2,0402,1,10k,C25744
R20,0402,1,330,C25104
R21,0402,1,330,C25104
R22,0402,1,330,C25104
R23,0402,1,330,C25104
R3,0402,1,10k,C25744
R4,0402,1,30k,C25779
R5,0402,1,330,C25104
R6,0402,1,330,C25104
R7,0402,1,330,C25104
R8,0402,1,330,C25104
R9,0402,1,330,C25104
"U1, U2",HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x7.8mm_Mask2.4x2.98mm,2,~,
XA1,Arduino_Uno_R3_Shield,1,Arduino_Uno_R3_Shield,
