Designator,Mid X,Mid Y,Rotation,Layer
C1,136.144,-69.06,90.0,top
C10,138.684,-69.116,270.0,top
C11,143.256,-69.116,90.0,top
C12,101.6,-78.74,0.0,top
C13,142.494,-57.94,90.0,top
C14,143.764,-57.94,90.0,top
C15,91.44,-78.74,0.0,top
C2,137.414,-70.894,90.0,top
C3,118.364,-69.0398,90.0,top
C4,119.634,-70.838,90.0,top
C5,120.904,-69.06,270.0,top
C6,125.476,-69.116,90.0,top
C7,101.6,-89.789,0.0,top
C8,124.714,-57.94,90.0,top
C9,125.984,-57.94,90.0,top
D1,114.554,-76.9875,90.0,top
D10,122.682,-76.9365,90.0,top
D11,116.586,-85.0645,90.0,top
D12,114.554,-93.2435,270.0,top
D13,114.554,-85.0645,90.0,top
D14,112.522,-76.9875,90.0,top
D15,120.65,-76.9365,90.0,top
D16,112.522,-93.2435,270.0,top
D17,112.522,-85.0645,90.0,top
D18,118.618,-76.9365,90.0,top
D19,116.586,-76.9875,90.0,top
D2,120.65,-93.1925,270.0,top
D20,118.618,-85.0645,90.0,top
D21,116.586,-93.2435,270.0,top
D22,118.618,-93.2435,270.0,top
D3,126.746,-85.0645,90.0,top
D4,122.682,-93.2435,270.0,top
D5,124.714,-85.0645,90.0,top
D6,124.714,-93.2475,270.0,top
D7,122.682,-85.0645,90.0,top
D8,126.746,-93.2475,270.0,top
D9,120.65,-85.0645,90.0,top
J1,91.44,-58.42,0.0,top
J2,132.08,-88.9,0.0,top
J3,132.08,-78.74,0.0,top
J4,93.98,-91.44,270.0,top
J5,91.44,-68.58,0.0,top
R1,121.158,-57.148,90.0,top
R10,124.714,-90.426,90.0,top
R11,122.682,-87.886,270.0,top
R12,126.746,-90.426,90.0,top
R13,120.65,-87.886,270.0,top
R14,122.682,-79.758,270.0,top
R15,116.586,-87.886,270.0,top
R16,114.554,-90.422,90.0,top
R17,114.554,-87.886,270.0,top
R18,112.522,-79.758,270.0,top
R19,120.65,-79.758,270.0,top
R2,122.682,-57.152,270.0,top
R20,112.522,-90.422,90.0,top
R21,112.522,-87.886,270.0,top
R22,118.618,-79.758,270.0,top
R23,116.586,-79.758,270.0,top
R24,118.618,-87.886,270.0,top
R25,116.586,-90.422,90.0,top
R26,118.618,-90.422,90.0,top
R3,140.462,-57.148,270.0,top
R4,138.938,-57.148,90.0,top
R5,114.554,-79.758,270.0,top
R6,120.65,-90.422,90.0,top
R7,126.746,-87.886,270.0,top
R8,122.682,-90.422,90.0,top
R9,124.714,-87.886,270.0,top
U1,139.7,-63.5,90.0,top
U2,121.92,-63.5,90.0,top
XA1,86.36,-101.6,0.0,top
